n_iteracion,fScoreMacro,fScoreMicro,fScoreWeighted,precision,recall,k_neighbors,valorD,w
0,0.9665831244778613,0.9666666666666667,0.9665831244778613,1.0,0.9,1,1,uniform
1,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,1,uniform
2,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,2,uniform
3,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,2,uniform
4,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,3,uniform
5,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,3,uniform
6,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,4,uniform
7,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,4,uniform
8,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,5,uniform
9,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,5,uniform
10,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,6,uniform
11,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,6,uniform
12,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,7,uniform
13,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,7,uniform
14,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,8,uniform
15,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,8,uniform
16,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,9,uniform
17,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,9,uniform
18,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,10,uniform
19,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,10,uniform
20,0.9665831244778613,0.9666666666666667,0.9665831244778613,1.0,0.9,1,1,distance
21,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,1,distance
22,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,2,distance
23,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,2,distance
24,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,3,distance
25,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,3,distance
26,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,4,distance
27,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,4,distance
28,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,5,distance
29,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,5,distance
30,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,6,distance
31,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,6,distance
32,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,7,distance
33,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,7,distance
34,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,8,distance
35,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,8,distance
36,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,9,distance
37,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,9,distance
38,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,1,10,distance
39,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,3,10,distance
